Category,Article Link,Summary
Get  Started 🌱,https://gov.optimism.io/t/how-to-stay-up-to-date/6124,"This text is a forum post about staying up to date with the Optimism Collective. It primarily focuses on the importance of attending community governance calls. 

The post includes:

* **A welcome message** encouraging participation in the community.
* **Reminders about upcoming calls and their dates**.
* **Comments from other members** expressing their interest in staying informed.
* **Links to relevant resources** like the governance calendar and past calls.

The forum post also features a list of related topics including Messari Governance Alerts, Governance Updates, and Delegate Updates. 
"
Get  Started 🌱,https://gov.optimism.io/t/how-to-stay-up-to-date/6124,"This text is a discussion thread from the Optimism Collective website focusing on staying updated on the platform's governance. The main post, titled ""How to Stay up to Date - Get Started"", provides a link to the ""Governance Calendar"" as a resource. Subsequent comments show users welcoming each other and expressing their intent to stay informed. There are also links to related topics, such as ""Governance Alerts"" and ""Governance Weekly Recap"", which provide further insights into the platform's governance activities. The thread also includes mentions of upcoming community calls, indicating a focus on community engagement and participation in governance decisions. 
"
Get  Started 🌱,https://gov.optimism.io/t/how-to-navigate-the-forum/6120,"This text is a guide for navigating the Optimism Collective Forum, a platform for discussing and managing the Optimism Collective, a decentralized governance organization. The guide categorizes different types of discussions within the forum, providing a clear understanding of where to post various topics. 

The categories include:

* **Updates and Announcements:**  News and information from the Optimism Foundation and partners.
* **Grants:**  Information about Mission Grants and the process for applying.
* **Technical Proposals:**  For non-grant proposals, including a template and submission process.
* **Retro Funding:** Discussions on the allocation of Retro Funding.
* **Token House Governance:** General governance information, delegate discussions, and voting cycles.
* **Accountability:** Transparency and accountability posts related to governance fund grants.
* **Elected Representatives:**  Information regarding councils, boards, and commissions within the Optimism Collective.
* **Collective Strategy:**  Intents and roadmaps for the Collective's strategic direction.
* **Citizens:** Discussions related to Citizen membership.
* **General Discussions:** Public discussions not fitting into other categories.
* **Feedback:** General feedback for the Optimism Collective.
* **Governance Design:**  Discussions on metagovernance, the governance of the governance system.

The guide emphasizes the importance of posting topics in the correct category for clear organization and ease of access. User feedback highlights the value of this guide for newcomers to the forum. 
"
Get  Started 🌱,https://gov.optimism.io/t/about-the-optimism-collective/6118,"The Optimism Collective is a new model of digital democratic governance. It's a community of individuals, companies, and communities united by the principle that positive impact to the Collective should be rewarded. The governance structure is based on two houses: the Token House and the Citizens' House. The Token House is based on the OP token and allows token holders to vote on proposals. The Citizens' House operates on a reputation-based system, where each member has one vote. It's responsible for Retroactive Public Goods Funding (Retro Funding). The system is designed to ensure checks and balances and enable the Collective to make better decisions. The Optimism Collective aims to create a more equitable digital economy through its interconnected network of blockchains built on modular, open-source code. The governance system is experimental and continuously evolving to adapt to the growth of the Collective. 
"
Get  Started 🌱,https://gov.optimism.io/t/working-constitution-of-the-optimism-collective/55,"The Optimism Collective is a decentralized governance experiment aimed at funding public goods for the benefit of the collective and beyond. This ""Working Constitution"" outlines the governing principles and provisions for the first four years of the Collective's existence, emphasizing experimentation and the gradual transition to a permanent ""Bedrock Constitution.""

The document establishes a bicameral governance system with equal representation for both OP Citizens and OP Holders, aiming to prevent power imbalances and ensure long-term vision. The Optimism Foundation acts as a steward, managing the Collective's treasury and governance, while gradually decentralizing its role. 

Key features of the governance model include:

- **Governance minimization**:  The Collective aims for minimal governance, prioritizing freedom over regulation.
- **Forking**: The right to fork and exit is encouraged, providing protection against governance capture.
- **Anti-plutocracy**: Citizenship plays a vital role, balancing the influence of financial stake.
- **Impact=profit**: The Collective prioritizes aligning individual profit with positive impact, creating a more equitable system.

The document encourages participation and highlights the future rollout of governance features, such as proposal creation, voting, and delegation.  Discussions focus on the long-term role of the Optimism Foundation and the potential for further decentralization. Overall, the Optimism Collective aims to create a vibrant and sustainable decentralized ecosystem. 
"
Get  Started 🌱,https://gov.optimism.io/t/governance-season-guides/6122,"This text is about governance seasons on the Optimism Collective platform. It features links to guides for different seasons (3 through 6), as well as links to related topics like ""Governance Update #4"" and ""Season 3 Feedback Thread.""  The text also lists recent forum activity, such as the number of replies and views for each topic.  Overall, it's a directory for users interested in learning more about Optimism Collective's governance structure and participation. 
"
Get  Started 🌱,https://gov.optimism.io/t/optimist-expectations/7241,"The Optimism Collective has outlined expectations for its members, known as ""Optimists,"" to ensure a healthy and productive governance environment. These expectations encompass:

* **Values Alignment:**  Upholding the Collective's values, including transparency, inclusivity, and avoiding self-dealing.
* **No Self-Dealing:** Disclosing potential conflicts of interest, abstaining from voting on proposals that benefit oneself, and avoiding voting solely for one's candidacy.
* **Inclusivity:** Respecting diverse viewpoints, engaging in constructive debate, and preferring public communication over private channels.
* **Extreme Civility:** Avoiding personal attacks, unsubstantiated claims, and using designated channels for feedback.
* **Good Faith and Best Interest:** Acting in the best interest of the Collective and voting accordingly.
* **Due Care and Attention:** Staying informed about Optimism and the broader cryptocurrency space, reviewing proposals diligently, and maximizing voting participation.

These expectations are meant to be comprehensive and will be enforced through various mechanisms, including social pressure, incentive design, and voting structures. The document emphasizes the importance of collaboration, open dialogue, and upholding the values of the Optimism Collective.
"
Get  Started 🌱,https://gov.optimism.io/t/welcome-to-the-optimism-collective-discourse/7,"The Optimism Collective is a decentralized governance experiment focused on sustainably funding public goods to improve well-being. The platform provides resources and documentation for those interested in learning more about the Collective's vision, governance process, and grant policies. The text includes positive feedback from community members praising the initiative and expressing their optimism for the project. 

There is also a discussion on improving the DAO governance process and a suggestion to encourage community participation in the forum. The related topics section further highlights the platform's efforts to provide information and facilitate engagement with the Optimism Collective.
"
Mission  Grants  🏹,https://gov.optimism.io/t/how-to-get-a-grant/6119,"The text discusses how to obtain grants from the Optimism Collective. It highlights the process of applying for mission grants and the importance of transparency in managing grant finances. The community is encouraged to share best practices for financial reporting and utilize on-chain tools to enhance visibility. 

Specifically, the text provides guidance on RetroPGF, a grant program that supports projects that have already been developed. It also mentions the Grants Council, which has specific goals and is seeking individuals to contribute to fulfilling them. 

The text includes a thread about a project that is close to completion, involving a smart contract and wallet integration. It also references related topics such as grants for building RetroPGF tools, and the integration of Optimism Gov and RPGF into university courses. 
"
Mission  Grants  🏹,https://gov.optimism.io/t/cycle-28-grants-final-roundup/9001,"The Optimism Collective has concluded its Cycle 28 grant round. 32 applications passed final review, and 8 were approved, including a Superchain grant for Mint Blockchain. All milestones were completed on time. The entire season budget is now allocated, and there will be no further rolling mission requests this season. 

The text also includes discussions about the grant process and a specific question from Delegate Match about KYC requirements for their grant. 
"
